id,sex,cage,time.of.day,n.correct.training,n.incorrect.training,session.reward.colour,n.morning.colour.test,n.afternoon.colour.test,final.presentation,n.correct.training.last.2,n.incorrect.training.last.2,prop.correct.training.last.2,n.morning.colour.initial,n.afternoon.colour.initial,species,criterion,n.morning.colour.training,n.afternoon.colour.training,prop.morning.reward.colour,shift.in.prop.morning.colour,abs.shift.in.prop.morning.colour,colour.training.scheme
T17,M,1A,1morning,131,48,yellow,45,26,normal,35,13,0.729166667,4,1,hecale,passed,131,48,0.731843575,0.359750552,0.359750552,yellow.morning.purple.afternoon
T18,M,3A,1morning,21,31,yellow,22,4,normal,6,5,0.545454545,0,24,hecale,failed,21,31,0.403846154,-0.111778846,0.111778846,yellow.morning.purple.afternoon
T19,M,3A,1morning,21,83,yellow,2,8,normal,8,13,0.380952381,0,48,hecale,failed,21,83,0.201923077,0.046993499,0.046993499,yellow.morning.purple.afternoon
T20,M,3A,1morning,81,93,yellow,24,47,normal,58,42,0.58,0,25,hecale,passed,81,93,0.465517241,0.079153605,0.079153605,yellow.morning.purple.afternoon
T21,M,3A,1morning,0,72,yellow,0,2,normal,0,6,0,0,4,hecale,NA,0,72,0,-0.019230769,0.019230769,yellow.morning.purple.afternoon
T23,F,3A,1morning,36,3,yellow,12,0,normal,25,0,1,0,4,hecale,passed,36,3,0.923076923,0.523076923,0.523076923,yellow.morning.purple.afternoon
T24,M,3A,1morning,15,73,yellow,10,5,normal,8,10,0.444444444,0,23,hecale,failed,15,73,0.170454545,0.08474026,0.08474026,yellow.morning.purple.afternoon
T25,M,3A,1morning,56,18,yellow,15,3,normal,15,8,0.652173913,0,7,hecale,passed,56,18,0.756756757,0.285058644,0.285058644,yellow.morning.purple.afternoon
T3,M,2A,1morning,127,48,purple,9,9,normal,15,12,0.555555556,17,4,hecale,passed,127,48,0.725714286,0.334985809,0.334985809,purple.morning.yellow.afternoon
T5,F,2A,1morning,46,10,purple,19,1,normal,6,1,0.857142857,15,6,hecale,NA,46,10,0.821428571,-0.178571429,0.178571429,purple.morning.yellow.afternoon
T6,F,2A,1morning,19,4,purple,13,1,normal,5,1,0.833333333,1,0,hecale,NA,19,4,0.826086957,-0.173913043,0.173913043,purple.morning.yellow.afternoon
T8,M,2A,1morning,40,22,purple,21,19,normal,5,7,0.416666667,4,19,hecale,failed,40,22,0.64516129,-0.064983637,0.064983637,purple.morning.yellow.afternoon
W2,M,2A,1morning,23,24,purple,0,9,normal,5,4,0.555555556,13,22,hecale,NA,23,24,0.489361702,0.316028369,0.316028369,purple.morning.yellow.afternoon
1,F,1B,2afternoon,33,2,yellow,41,66,reversed,11,0,1,3,6,hecale,failed,2,33,0.057142857,,,purple.morning.yellow.afternoon
2,M,1B,2afternoon,97,9,yellow,3,70,reversed,18,0,1,17,33,hecale,failed,9,97,0.08490566,,,purple.morning.yellow.afternoon
3,F,1B,2afternoon,0,7,yellow,15,0,reversed,0,3,0,14,0,hecale,NA,7,0,1,,,purple.morning.yellow.afternoon
4,M,1B,2afternoon,84,10,yellow,27,93,reversed,19,2,0.904761905,90,3,hecale,failed,10,84,0.106382979,,,purple.morning.yellow.afternoon
5,M,1B,2afternoon,91,4,yellow,32,64,reversed,42,2,0.954545455,18,19,hecale,failed,4,91,0.042105263,,,purple.morning.yellow.afternoon
6,M,1B,2afternoon,73,11,yellow,10,27,reversed,19,3,0.863636364,22,4,hecale,passed,11,73,0.130952381,,,purple.morning.yellow.afternoon
7,F,1B,2afternoon,39,29,yellow,2,5,reversed,15,8,0.652173913,7,1,hecale,passed,29,39,0.426470588,,,purple.morning.yellow.afternoon
